Model Type,Gini Coefficient
item based CF,0.9703744994874323
ring buffer baseline,0.9997702767865754
ring buffer baseline,0.9997702767865754
item based CF,0.9707553150604554
bias baseline,0.9970980847359258
user_based_cf,0.9725062558536772
item based CF,0.9707512863946661
