timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-02-27T17:30:44,codecarbon,b37887b7-6cf3-4011-b85a-4942d74d80a8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0149551999929826,4.4690985290953494e-09,2.988324148919677e-07,42.5,0.0,5.899243354797363,1.4499111102850293e-07,0,3.5826432632307673e-09,1.485737542917337e-07,Norway,NOR,trøndelag,,,Windows-10-10.0.26100-SP0,3.11.9,2.8.3,20,13th Gen Intel(R) Core(TM) i7-13700H,,,10.4037,63.4306,15.731315612792969,machine,N,1.0
2025-03-27T11:03:34,codecarbon,9e374c7c-1335-43fd-aef6-f65f6c74eefc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0137610000092536,4.574156998942372e-09,3.3240004330110225e-07,42.5,0.0,5.899243354797363,1.490227078546822e-07,0,3.04368173781692e-09,1.5206638959249908e-07,Norway,NOR,trøndelag,,,Windows-10-10.0.26100-SP0,3.11.9,2.8.3,20,13th Gen Intel(R) Core(TM) i7-13700H,,,10.4037,63.4306,15.731315612792969,machine,N,1.0
2025-03-29T11:30:39,codecarbon,ec8a89be-350e-4948-a5ad-ed09608511a3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0225362000055611,6.81257853023337e-09,3.0229490901537413e-07,42.5,0.0,5.899243354797363,2.229632643219601e-07,0,3.5187346884577957e-09,2.264819990104179e-07,Norway,NOR,trøndelag,,,Windows-10-10.0.26100-SP0,3.11.9,2.8.3,20,13th Gen Intel(R) Core(TM) i7-13700H,,,10.4037,63.4306,15.731315612792969,machine,N,1.0
2025-03-30T15:46:33,codecarbon,a1b3df95-46c5-4735-ac88-c713618e919f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0252698000986129,7.806223418291039e-09,3.089151235003056e-07,42.5,0.0,5.899243354797363,2.521985420672637e-07,0,7.316864125922474e-09,2.5951540619318613e-07,Norway,NOR,trøndelag,,,Windows-10-10.0.26100-SP0,3.11.9,2.8.3,20,13th Gen Intel(R) Core(TM) i7-13700H,,,10.4037,63.4306,15.731315612792969,machine,N,1.0
2025-03-30T15:52:19,codecarbon,f8c5adf7-633c-4f0c-afc7-1bede850baf1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.03099400014616549,9.699591398588097e-09,3.129506147268993e-07,42.5,0.0,5.899243354797363,3.173522225956226e-07,0,5.107597836162547e-09,3.2245982043178513e-07,Norway,NOR,trøndelag,,,Windows-10-10.0.26100-SP0,3.11.9,2.8.3,20,13th Gen Intel(R) Core(TM) i7-13700H,,,10.4037,63.4306,15.731315612792969,machine,N,1.0
